activityID,startTime,linkedEvents,GST_ActivityID
2024-10-24T03:48:00-CME-001,2024-10-24T03:48Z,"[{'activityID': '2024-10-24T03:30:00-FLR-001'}, {'activityID': '2024-10-26T15:34:00-IPS-001'}, {'activityID': '2024-10-26T16:45:00-SEP-001'}, {'activityID': '2024-10-26T18:05:00-SEP-001'}, {'activityID': '2024-10-26T18:57:00-SEP-001'}, {'activityID': '2024-10-26T19:02:00-SEP-001'}, {'activityID': '2024-10-26T19:50:00-SEP-001'}, {'activityID': '2024-10-26T20:06:00-SEP-001'}, {'activityID': '2024-10-26T21:43:00-SEP-001'}, {'activityID': '2024-10-27T10:24:00-IPS-001'}, {'activityID': '2024-10-28T08:57:00-SEP-001'}]",2024-10-24T03:30:00-FLR-001
2024-10-25T07:53:00-CME-001,2024-10-25T07:53Z,[{'activityID': '2024-10-25T07:23:00-FLR-001'}],2024-10-25T07:23:00-FLR-001
2024-10-26T06:48:00-CME-001,2024-10-26T06:48Z,"[{'activityID': '2024-10-26T05:57:00-FLR-001'}, {'activityID': '2024-10-26T06:32:00-FLR-001'}, {'activityID': '2024-10-26T16:45:00-SEP-001'}, {'activityID': '2024-10-26T18:05:00-SEP-001'}, {'activityID': '2024-10-26T18:57:00-SEP-001'}, {'activityID': '2024-10-26T19:02:00-SEP-001'}, {'activityID': '2024-10-26T19:50:00-SEP-001'}, {'activityID': '2024-10-26T20:06:00-SEP-001'}, {'activityID': '2024-10-26T21:43:00-SEP-001'}, {'activityID': '2024-10-28T04:13:00-IPS-001'}, {'activityID': '2024-10-28T08:57:00-SEP-001'}, {'activityID': '2024-10-28T16:58:00-IPS-001'}]",2024-10-26T05:57:00-FLR-001
2024-10-29T13:23:00-CME-001,2024-10-29T13:23Z,"[{'activityID': '2024-10-31T19:28:00-IPS-001'}, {'activityID': '2024-11-01T00:02:00-IPS-001'}]",2024-10-31T19:28:00-IPS-001
2024-10-31T13:48:00-CME-001,2024-10-31T13:48Z,"[{'activityID': '2024-11-03T16:47:00-IPS-001'}, {'activityID': '2024-11-07T15:35:00-RBE-001'}]",2024-11-03T16:47:00-IPS-001
2024-10-31T22:36:00-CME-001,2024-10-31T22:36Z,[{'activityID': '2024-10-31T21:12:00-FLR-001'}],2024-10-31T21:12:00-FLR-001
2024-11-03T15:27:00-CME-001,2024-11-03T15:27Z,[{'activityID': '2024-11-03T15:13:00-FLR-001'}],2024-11-03T15:13:00-FLR-001
2024-11-04T01:36:00-CME-001,2024-11-04T01:36Z,"[{'activityID': '2024-11-04T01:05:00-FLR-001'}, {'activityID': '2024-11-06T16:20:00-IPS-001'}]",2024-11-04T01:05:00-FLR-001
2024-11-04T13:23:00-CME-001,2024-11-04T13:23Z,[{'activityID': '2024-11-04T11:46:00-FLR-001'}],2024-11-04T11:46:00-FLR-001
2024-11-04T17:24:00-CME-001,2024-11-04T17:24Z,"[{'activityID': '2024-11-04T15:26:00-FLR-001'}, {'activityID': '2024-11-04T15:36:00-FLR-001'}, {'activityID': '2024-11-07T14:29:00-IPS-001'}]",2024-11-04T15:26:00-FLR-001
2024-11-05T00:09:00-CME-001,2024-11-05T00:09Z,[{'activityID': '2024-11-07T14:29:00-IPS-001'}],2024-11-07T14:29:00-IPS-001
2024-11-05T07:36:00-CME-001,2024-11-05T07:36Z,[{'activityID': '2024-11-05T06:35:00-FLR-001'}],2024-11-05T06:35:00-FLR-001
2024-11-05T16:09:00-CME-001,2024-11-05T16:09Z,[{'activityID': '2024-11-05T15:05:00-FLR-001'}],2024-11-05T15:05:00-FLR-001
2024-11-06T16:48:00-CME-001,2024-11-06T16:48Z,[{'activityID': '2024-11-06T15:50:00-FLR-001'}],2024-11-06T15:50:00-FLR-001
2024-11-06T23:36:00-CME-001,2024-11-06T23:36Z,[{'activityID': '2024-11-06T23:10:00-FLR-001'}],2024-11-06T23:10:00-FLR-001
